id_personne,region,date_declaration,date_payment,montant_declared,risque
1,Occitanie,2023-12-09,2024-01-26,4752.3,0
2,Île-de-France,2024-07-06,2024-08-14,4691.54,0
3,Auvergne-Rhône-Alpes,2023-08-09,2023-09-13,256.76,0
4,Île-de-France,2024-05-04,2024-07-13,2450.21,0
5,Auvergne-Rhône-Alpes,2024-09-13,2024-10-19,3648.61,1
6,Île-de-France,2024-03-19,2024-05-23,2423.68,0
7,Provence-Alpes-Côte d'Azur,2023-12-14,2024-01-24,4353.55,0
8,Occitanie,2023-07-06,2023-08-14,1078.17,0
9,Auvergne-Rhône-Alpes,2023-09-17,2023-11-01,3149.78,0
10,Occitanie,2022-11-07,2022-12-18,1730.57,0
11,Île-de-France,2024-11-21,2024-12-16,3635.86,0
12,Nouvelle-Aquitaine,2024-04-08,2024-06-12,3248.26,1
13,Île-de-France,2025-06-22,2025-07-11,788.36,0
14,Provence-Alpes-Côte d'Azur,2023-03-24,2023-05-05,4713.87,0
15,Occitanie,2025-02-28,2025-04-21,4699.96,0
16,Île-de-France,2025-06-02,2025-06-21,3765.37,1
17,Nouvelle-Aquitaine,2022-11-13,2023-01-17,944.87,0
18,Île-de-France,2022-09-27,2022-11-25,4419.02,0
19,Provence-Alpes-Côte d'Azur,2022-09-28,2022-10-07,4580.24,0
20,Provence-Alpes-Côte d'Azur,2024-05-22,2024-06-04,340.75,1
21,Île-de-France,2025-08-27,2025-10-25,4037.11,0
22,Provence-Alpes-Côte d'Azur,2024-12-05,2025-02-09,202.46,0
23,Auvergne-Rhône-Alpes,2023-01-07,2023-02-08,4155.65,0
24,Île-de-France,2025-03-14,2025-03-30,326.33,0
25,Nouvelle-Aquitaine,2023-07-24,2023-10-17,4828.4,0
26,Nouvelle-Aquitaine,2024-08-23,2024-11-06,4813.54,0
27,Provence-Alpes-Côte d'Azur,2024-12-04,2025-01-11,2939.08,0
28,Auvergne-Rhône-Alpes,2023-11-13,2024-01-11,3884.27,0
29,Nouvelle-Aquitaine,2025-08-29,2025-10-01,1527.42,0
30,Occitanie,2024-12-22,2025-02-01,704.78,0
